model,image,stufe,cer_jiwer,wer_jiwer,cer_dinglehopper,wer_dinglehopper,S,D,I,N,wiederholungen,artefakt_zeichen,artefakt_anteil
anthropic_claude-opus-5,anzeige02,roh,0.0302,0.4,0.0302,0.0822,7,7,5,629,1,0,0.0
anthropic_claude-opus-5,anzeige02,norm,0.0127,0.12,0.0127,0.0822,1,7,0,629,1,0,0.0
anthropic_claude-sonnet-5,anzeige02,roh,0.0079,0.15,0.0079,0.0,1,0,4,629,1,0,0.0
anthropic_claude-sonnet-5,anzeige02,norm,0.0016,0.0133,0.0016,0.0,1,0,0,629,1,0,0.0
deepseek-ocr_3b,anzeige02,roh,0.1749,0.45,0.1749,0.5205,29,7,74,629,1,71,0.102
deepseek-ocr_3b,anzeige02,norm,0.062,0.3333,0.062,0.3014,29,7,3,629,1,71,0.102
gemma4_e4b,anzeige02,roh,0.0143,0.05,0.0143,0.0274,0,9,0,629,1,0,0.0
gemma4_e4b,anzeige02,norm,0.0143,0.04,0.0143,0.0274,0,9,0,629,1,0,0.0
glm-ocr_bf16,anzeige02,roh,0.0175,0.1167,0.0175,0.1233,9,1,1,629,1,0,0.0
glm-ocr_bf16,anzeige02,norm,0.0175,0.1067,0.0175,0.1233,9,1,1,629,1,0,0.0
google_gemini-3-5-flash,anzeige02,roh,0.0032,0.05,0.0032,0.0137,0,1,1,629,1,0,0.0
google_gemini-3-5-flash,anzeige02,norm,0.0016,0.0133,0.0016,0.0137,0,1,0,629,1,0,0.0
maternion_lightonocr-2_1b,anzeige02,roh,0.0095,0.15,0.0095,0.0274,2,0,4,629,1,0,0.0
maternion_lightonocr-2_1b,anzeige02,norm,0.0032,0.0267,0.0032,0.0274,2,0,0,629,1,0,0.0
minicpm-v4.5_8b,anzeige02,roh,0.0843,0.5167,0.0843,0.411,42,8,3,629,1,0,0.0
minicpm-v4.5_8b,anzeige02,norm,0.0763,0.4133,0.0763,0.411,37,8,3,629,1,0,0.0
openai_gpt-5-6-sol,anzeige02,roh,0.0,0.0,0.0,0.0,0,0,0,629,1,0,0.0
openai_gpt-5-6-sol,anzeige02,norm,0.0,0.0,0.0,0.0,0,0,0,629,1,0,0.0
qwen3-vl_4b-instruct,anzeige02,roh,0.0032,0.0333,0.0032,0.0274,1,0,1,629,1,0,0.0
qwen3-vl_4b-instruct,anzeige02,norm,0.0032,0.0267,0.0032,0.0274,1,0,1,629,1,0,0.0
qwen3-vl_8b-instruct,anzeige02,roh,0.0,0.0,0.0,0.0,0,0,0,629,1,0,0.0
qwen3-vl_8b-instruct,anzeige02,norm,0.0,0.0,0.0,0.0,0,0,0,629,1,0,0.0
qwen3.5_4b,anzeige02,roh,0.0016,0.0167,0.0016,0.0137,0,0,1,629,1,0,0.0
qwen3.5_4b,anzeige02,norm,0.0016,0.0133,0.0016,0.0137,0,0,1,629,1,0,0.0
anthropic_claude-opus-5,anzeige03,roh,0.0059,0.1333,0.0059,0.0,2,1,0,511,1,0,0.0
anthropic_claude-opus-5,anzeige03,norm,0.002,0.0339,0.002,0.0,0,1,0,511,1,0,0.0
anthropic_claude-sonnet-5,anzeige03,roh,0.0176,0.3778,0.0176,0.0,2,1,6,511,1,0,0.0
anthropic_claude-sonnet-5,anzeige03,norm,0.002,0.0339,0.002,0.0,0,1,0,511,1,0,0.0
deepseek-ocr_3b,anzeige03,roh,0.09,0.6889,0.09,0.3934,17,2,27,511,1,11,0.0205
deepseek-ocr_3b,anzeige03,norm,0.0646,0.4407,0.0646,0.377,15,2,16,511,1,11,0.0205
gemma4_e4b,anzeige03,roh,0.0313,0.2667,0.0313,0.0984,7,5,4,511,1,0,0.0
gemma4_e4b,anzeige03,norm,0.0274,0.1356,0.0274,0.0984,5,5,4,511,1,0,0.0
glm-ocr_bf16,anzeige03,roh,0.047,0.4,0.047,0.2459,22,2,0,511,1,0,0.0
glm-ocr_bf16,anzeige03,norm,0.0431,0.2542,0.0431,0.2459,20,2,0,511,1,0,0.0
google_gemini-3-5-flash,anzeige03,roh,0.0098,0.2,0.0098,0.0,2,1,2,511,1,0,0.0
google_gemini-3-5-flash,anzeige03,norm,0.0059,0.0847,0.0059,0.0,0,1,2,511,1,0,0.0
maternion_lightonocr-2_1b,anzeige03,roh,0.0333,0.5778,0.0333,0.0328,6,2,9,511,1,0,0.0
maternion_lightonocr-2_1b,anzeige03,norm,0.0059,0.0678,0.0059,0.0328,1,2,0,511,1,0,0.0
minicpm-v4.5_8b,anzeige03,roh,0.0528,0.4444,0.0528,0.2951,18,5,4,511,1,0,0.0
minicpm-v4.5_8b,anzeige03,norm,0.0489,0.2881,0.0489,0.2951,16,5,4,511,1,0,0.0
openai_gpt-5-6-sol,anzeige03,roh,0.0098,0.1556,0.0098,0.0164,2,3,0,511,1,0,0.0
openai_gpt-5-6-sol,anzeige03,norm,0.0059,0.0508,0.0059,0.0164,0,3,0,511,1,0,0.0
qwen3-vl_4b-instruct,anzeige03,roh,0.0294,0.2667,0.0294,0.1148,9,4,2,511,1,0,0.0
qwen3-vl_4b-instruct,anzeige03,norm,0.0254,0.1356,0.0254,0.1148,7,4,2,511,1,0,0.0
qwen3-vl_8b-instruct,anzeige03,roh,0.0196,0.2222,0.0196,0.0656,3,4,3,511,1,0,0.0
qwen3-vl_8b-instruct,anzeige03,norm,0.0157,0.1017,0.0157,0.0656,1,4,3,511,1,0,0.0
qwen3.5_4b,anzeige03,roh,0.0137,0.1778,0.0137,0.0328,5,2,0,511,1,0,0.0
qwen3.5_4b,anzeige03,norm,0.0098,0.0678,0.0098,0.0328,3,2,0,511,1,0,0.0
anthropic_claude-opus-5,anzeige04,roh,0.0177,0.2338,0.0177,0.0449,5,4,3,677,1,0,0.0
anthropic_claude-opus-5,anzeige04,norm,0.0059,0.046,0.0059,0.0449,0,4,0,673,1,0,0.0
anthropic_claude-sonnet-5,anzeige04,roh,0.0133,0.1558,0.0133,0.0449,5,4,0,677,1,0,0.0
anthropic_claude-sonnet-5,anzeige04,norm,0.0059,0.046,0.0059,0.0449,0,4,0,673,1,0,0.0
deepseek-ocr_3b,anzeige04,roh,0.0931,0.4156,0.0931,0.2135,36,7,20,677,1,27,0.0391
deepseek-ocr_3b,anzeige04,norm,0.0535,0.2184,0.0535,0.2135,24,11,1,673,1,27,0.0391
gemma4_e4b,anzeige04,roh,0.0384,0.1169,0.0384,0.1011,4,11,11,677,1,0,0.0
gemma4_e4b,anzeige04,norm,0.0357,0.1034,0.0357,0.1011,4,10,10,673,1,0,0.0
glm-ocr_bf16,anzeige04,roh,0.0576,0.3636,0.0576,0.1573,14,17,8,677,1,0,0.0
glm-ocr_bf16,anzeige04,norm,0.0446,0.1839,0.0446,0.1573,9,13,8,673,1,0,0.0
google_gemini-3-5-flash,anzeige04,roh,0.0192,0.2208,0.0192,0.1011,5,4,4,677,1,0,0.0
google_gemini-3-5-flash,anzeige04,norm,0.0119,0.1034,0.0119,0.1011,0,4,4,673,1,0,0.0
maternion_lightonocr-2_1b,anzeige04,roh,1.1034,1.0909,1.1034,1.3371,12,5,730,677,1,722,0.5179
maternion_lightonocr-2_1b,anzeige04,norm,0.0327,0.1379,0.0327,0.1348,1,11,10,673,1,722,0.5179
minicpm-v4.5_8b,anzeige04,roh,0.0606,0.3636,0.0606,0.1348,23,12,6,677,1,0,0.0
minicpm-v4.5_8b,anzeige04,norm,0.0475,0.1379,0.0475,0.1348,16,9,7,673,1,0,0.0
openai_gpt-5-6-sol,anzeige04,roh,0.0355,0.2078,0.0355,0.0674,5,12,7,677,1,0,0.0
openai_gpt-5-6-sol,anzeige04,norm,0.0238,0.069,0.0238,0.0674,0,10,6,673,1,0,0.0
qwen3-vl_4b-instruct,anzeige04,roh,0.0369,0.1818,0.0369,0.1011,10,14,1,677,1,0,0.0
qwen3-vl_4b-instruct,anzeige04,norm,0.0312,0.1034,0.0312,0.1011,10,10,1,673,1,0,0.0
qwen3-vl_8b-instruct,anzeige04,roh,0.0295,0.1429,0.0295,0.0449,6,13,1,677,1,0,0.0
qwen3-vl_8b-instruct,anzeige04,norm,0.0238,0.0575,0.0238,0.0449,6,9,1,673,1,0,0.0
qwen3.5_4b,anzeige04,roh,0.0281,0.1299,0.0281,0.0562,5,9,5,677,1,0,0.0
qwen3.5_4b,anzeige04,norm,0.0253,0.0575,0.0253,0.0562,5,6,6,673,1,0,0.0
anthropic_claude-opus-5,anzeige05,roh,0.014,0.2222,0.014,0.0,2,1,0,215,1,0,0.0
anthropic_claude-opus-5,anzeige05,norm,0.0,0.0,0.0,0.0,0,0,0,214,1,0,0.0
anthropic_claude-sonnet-5,anzeige05,roh,0.0233,0.4444,0.0233,0.0357,1,0,4,215,1,0,0.0
anthropic_claude-sonnet-5,anzeige05,norm,0.0047,0.04,0.0047,0.0357,1,0,0,214,1,0,0.0
deepseek-ocr_3b,anzeige05,roh,0.1953,0.8889,0.1953,0.3214,9,11,22,215,1,20,0.0901
deepseek-ocr_3b,anzeige05,norm,0.0888,0.32,0.0888,0.3214,5,13,1,214,1,20,0.0901
gemma4_e4b,anzeige05,roh,0.1023,0.4444,0.1023,0.3214,4,18,0,215,1,0,0.0
gemma4_e4b,anzeige05,norm,0.1028,0.32,0.1028,0.3214,4,18,0,214,1,0,0.0
glm-ocr_bf16,anzeige05,roh,0.0558,0.4444,0.0558,0.2857,6,5,1,215,1,0,0.0
glm-ocr_bf16,anzeige05,norm,0.0514,0.28,0.0514,0.2857,6,5,0,214,1,0,0.0
google_gemini-3-5-flash,anzeige05,roh,0.0047,0.1111,0.0047,0.0,0,1,0,215,1,0,0.0
google_gemini-3-5-flash,anzeige05,norm,0.0,0.0,0.0,0.0,0,0,0,214,1,0,0.0
maternion_lightonocr-2_1b,anzeige05,roh,0.1116,1.0556,0.1116,0.1429,5,0,19,215,1,9,0.0404
maternion_lightonocr-2_1b,anzeige05,norm,0.0234,0.16,0.0234,0.1429,5,0,0,214,1,9,0.0404
minicpm-v4.5_8b,anzeige05,roh,0.0279,0.3333,0.0279,0.1786,1,5,0,215,1,0,0.0
minicpm-v4.5_8b,anzeige05,norm,0.0234,0.16,0.0234,0.1786,1,4,0,214,1,0,0.0
openai_gpt-5-6-sol,anzeige05,roh,0.0093,0.1667,0.0093,0.0357,1,0,1,215,1,0,0.0
openai_gpt-5-6-sol,anzeige05,norm,0.0047,0.04,0.0047,0.0357,1,0,0,214,1,0,0.0
qwen3-vl_4b-instruct,anzeige05,roh,0.0372,0.3889,0.0372,0.2143,2,6,0,215,1,0,0.0
qwen3-vl_4b-instruct,anzeige05,norm,0.0327,0.2,0.0327,0.2143,2,5,0,214,1,0,0.0
qwen3-vl_8b-instruct,anzeige05,roh,0.0326,0.2222,0.0326,0.1071,5,1,1,215,1,0,0.0
qwen3-vl_8b-instruct,anzeige05,norm,0.028,0.08,0.028,0.1071,5,0,1,214,1,0,0.0
qwen3.5_4b,anzeige05,roh,0.0326,0.3889,0.0326,0.2143,2,5,0,215,1,0,0.0
qwen3.5_4b,anzeige05,norm,0.028,0.2,0.028,0.2143,2,4,0,214,1,0,0.0
