image,model,gold_pos,gold,hypothese,art,kontext,zeichen_ops,n_modelle,verschiebung,typ_vorschlag,regel,typ,bemerkung
anzeige01,glm-ocr_bf16,0,FABRIKO ŽENKLAS „AUŠRA“,,Loeschung,[[FABRIKO ŽENKLAS „AUŠRA“]] Likör- und Schnaps-Fabrik,geloescht: FABRIKO ŽENKLAS „AUŠRA“,9,,E,block-ausgelassen,E,
anzeige01,glm-ocr_bf16,6,„AUŠRA“,",,AUŠRA“",Substitution,Likör- und Schnaps-Fabrik [[„AUŠRA“]] Telegr.-Adr.: Aušra Kaunas,"∅->, „->,",1,,,,B,
anzeige01,google_gemini-3-5-flash,2,„AUŠRA“,-AUŠRA-,Substitution,FABRIKO ŽENKLAS [[„AUŠRA“]] Likör- und Schnaps-Fabrik,„->- “->-,1,,,,,
anzeige01,maternion_lightonocr-2_1b,0,FABRIKO ŽENKLAS „AUŠRA“,,Loeschung,[[FABRIKO ŽENKLAS „AUŠRA“]] Likör- und Schnaps-Fabrik,geloescht: FABRIKO ŽENKLAS „AUŠRA“,9,,E,block-ausgelassen,E,
anzeige01,minicpm-v4.5_8b,0,FABRIKO ŽENKLAS „AUŠRA“,,Loeschung,[[FABRIKO ŽENKLAS „AUŠRA“]] Likör- und Schnaps-Fabrik,geloescht: FABRIKO ŽENKLAS „AUŠRA“,9,anzeige01/minicpm-v4.5_8b#1,B,verschiebung,B,Verschiebung: Block steht an anderer Stelle
anzeige01,minicpm-v4.5_8b,7,Telegr.-Adr.:,Telegr.-Addr.:,Substitution,"und Schnaps-Fabrik „AUŠRA“ [[Telegr.-Adr.:]] Aušra Kaunas Kaunas,",∅->d,1,,,,E,"strittig: A denkbar; 'Addr.' ist keine Frakturverwechslung, sondern die gelaeufigere Abkuerzung"
anzeige01,minicpm-v4.5_8b,38,,FABRIKO ŽENKLAS AUŠRA,Einfuegung,"Cacao, Berberitzen etc. [[∅]]",eingefuegt: FABRIKO ŽENKLAS AUŠRA,1,anzeige01/minicpm-v4.5_8b#1,B,verschiebung,B,Verschiebung: Block steht an anderer Stelle
anzeige01,openai_gpt-5-6-sol,0,FABRIKO ŽENKLAS,Likör- und Schnaps-Fabrik,Substitution,[[FABRIKO ŽENKLAS]] „AUŠRA“ Likör- und,∅->L ∅->i ∅->k F->ö A->r B->- R->  I->u K->n O->d ∅->S ∅->c ∅->h ∅->n ∅->a ∅->p ∅->s Ž->- E->F N->a K->b L->r A->i S->k,1,,,,,
anzeige01,openai_gpt-5-6-sol,3,Likör- und Schnaps-Fabrik „AUŠRA“,FABRIKO ŽENKLAS AUŠRA -,Substitution,FABRIKO ŽENKLAS „AUŠRA“ [[Likör- und Schnaps-Fabrik „AUŠRA“]] Telegr.-Adr.: Aušra Kaunas,L->F i->A k->B ö->R r->I -->K  ->O u->∅ n->∅ d->∅ S->Ž c->E h->N n->K a->L p->A s->S -->∅ F->∅ a->∅ b->∅ r->∅ i->∅ k->∅ „->∅ ∅->  “->-,1,,,,,
anzeige01,openai_gpt-5-6-sol,13,(Bažnyčio,(Bažnyčios,Substitution,"Kaunas, Kirchenstrasse 1 [[(Bažnyčio]] g. 1) Aquavit",∅->s,1,,,,,
anzeige01,openai_gpt-5-6-sol,32,Suktine,Suktinė,Substitution,"Liköre: Klumpakojis (Kirsch) [[Suktine]] (süße Pomeranzen) Cacao,",e->ė,1,,D,nur-diakritika,,
anzeige01,qwen3-vl_4b-instruct,0,FABRIKO ŽENKLAS „AUŠRA“,,Loeschung,[[FABRIKO ŽENKLAS „AUŠRA“]] Likör- und Schnaps-Fabrik,geloescht: FABRIKO ŽENKLAS „AUŠRA“,9,,E,block-ausgelassen,E,
anzeige01,qwen3-vl_8b-instruct,0,FABRIKO ŽENKLAS „AUŠRA“,,Loeschung,[[FABRIKO ŽENKLAS „AUŠRA“]] Likör- und Schnaps-Fabrik,geloescht: FABRIKO ŽENKLAS „AUŠRA“,9,,E,block-ausgelassen,E,
anzeige01,qwen3.5_4b,0,FABRIKO ŽENKLAS „AUŠRA“,,Loeschung,[[FABRIKO ŽENKLAS „AUŠRA“]] Likör- und Schnaps-Fabrik,geloescht: FABRIKO ŽENKLAS „AUŠRA“,9,,E,block-ausgelassen,E,
anzeige02,anthropic_claude-opus-5,5,Landwirtschafts- Zeitschrift,Landwirtschafts-Zeitschrift,Substitution,technischen Industrie- und [[Landwirtschafts- Zeitschrift]] „Lietuvos Politechnikas“ (Der, ->∅,1,,B,nur-trennung,,
anzeige02,anthropic_claude-opus-5,8,Politechnikas“,"Politechnikas""",Substitution,Landwirtschafts- Zeitschrift „Lietuvos [[Politechnikas“]] (Der Litauische Polytechniker),"“->""",2,,,,,
anzeige02,anthropic_claude-opus-5,32,Wasser- turbinen.,Wasserturbinen.,Substitution,/ Montage von [[Wasser- turbinen.]] / Mühlsteinfabrikation u.,-->∅  ->∅,1,,B,nur-trennung,,
anzeige02,anthropic_claude-opus-5,42,Torf-Trocken- destillations-Anlagen.,Torf-Trockendestillations-Anlagen.,Substitution,von Holz- und [[Torf-Trocken- destillations-Anlagen.]] / Herstellung von,-->∅  ->∅,1,,B,nur-trennung,,
anzeige02,anthropic_claude-opus-5,54,Werk- stätte,Werkstätte,Substitution,dergl. / Mechanische [[Werk- stätte]] und Fabrik für,-->∅  ->∅,1,,B,nur-trennung,,
anzeige02,anthropic_claude-sonnet-5,8,Politechnikas“,"Politechnikas""",Substitution,Landwirtschafts- Zeitschrift „Lietuvos [[Politechnikas“]] (Der Litauische Polytechniker),"“->""",2,,,,,
anzeige02,deepseek-ocr_3b,0,Verlag,Derlag,Substitution,[[Verlag]] der technischen Industrie-,V->D,1,,,,A,
anzeige02,deepseek-ocr_3b,9,(Der,( Der,Substitution,Zeitschrift „Lietuvos Politechnikas“ [[(Der]] Litauische Polytechniker) Kunst-Photochemiegraphie,∅-> ,1,,B,nur-trennung,B,
anzeige02,deepseek-ocr_3b,12,Kunst-Photochemiegraphie,Kunft-Photochemiegraphie,Substitution,(Der Litauische Polytechniker) [[Kunst-Photochemiegraphie]] und Anfertigung von,s->f,2,,A,nur-fraktur,A,
anzeige02,deepseek-ocr_3b,14,Anfertigung,2nfertigung,Substitution,Polytechniker) Kunst-Photochemiegraphie und [[Anfertigung]] von Kunst-Klischees. Ausrüstung,A->2,1,,,,A,
anzeige02,deepseek-ocr_3b,16,Kunst-Klischees.,Kunft-Klifches.,Substitution,und Anfertigung von [[Kunst-Klischees.]] Ausrüstung und Niederlage,s->f s->f e->∅,1,,,,A,
anzeige02,deepseek-ocr_3b,17,Ausrüstung,Zusriftung,Substitution,Anfertigung von Kunst-Klischees. [[Ausrüstung]] und Niederlage von,A->Z ü->i s->f,1,,,,A,
anzeige02,deepseek-ocr_3b,27,elektrischen,elektriichen,Substitution,anderen industriellen und [[elektrischen]] Maschinen. / Montage,s->i,1,,,,A,
anzeige02,deepseek-ocr_3b,28,Maschinen.,Mächinen.,Substitution,industriellen und elektrischen [[Maschinen.]] / Montage von,a->ä s->∅,1,,,,A,
anzeige02,deepseek-ocr_3b,32,Wasser-,Wärfer-,Substitution,/ Montage von [[Wasser-]] turbinen. / Mühlsteinfabrikation,a->ä s->r s->f,1,,,,A,
anzeige02,deepseek-ocr_3b,35,Mühlsteinfabrikation,Mühlfteinfabriation,Substitution,Wasser- turbinen. / [[Mühlsteinfabrikation]] u. Betonbau. Einrichtung,s->f k->∅,1,,,,A,
anzeige02,deepseek-ocr_3b,42,Torf-Trocken-,Torf - Troden-,Substitution,von Holz- und [[Torf-Trocken-]] destillations-Anlagen. / Herstellung,∅->  ∅->  c->d k->∅,1,,,,A,zusaetzlich eingefuegte Spatien um den Bindestrich (B)
anzeige02,deepseek-ocr_3b,43,destillations-Anlagen.,defiliations-Anlagen.,Substitution,Holz- und Torf-Trocken- [[destillations-Anlagen.]] / Herstellung von,s->f t->∅ l->i,1,,,,A,
anzeige02,deepseek-ocr_3b,45,Herstellung,5erstellung,Substitution,"Torf-Trocken- destillations-Anlagen. / [[Herstellung]] von Teer, Terpentin,",H->5,1,,,,A,
anzeige02,deepseek-ocr_3b,49,Ölen,Olen,Substitution,"von Teer, Terpentin, [[Ölen]] u. dergl. /",Ö->O,1,,D,nur-diakritika,A,"deutscher Umlaut, kein litauisches Diakritikum -> A statt Vorschlag D"
anzeige02,deepseek-ocr_3b,54,Werk-,Wert-,Substitution,dergl. / Mechanische [[Werk-]] stätte und Fabrik,k->t,2,,A,nur-fraktur,A,
anzeige02,deepseek-ocr_3b,55,stätte,fätte,Substitution,/ Mechanische Werk- [[stätte]] und Fabrik für,s->f t->∅,1,,,,A,
anzeige02,deepseek-ocr_3b,63,"Artikel,","2rtitel,",Substitution,"und technische :: [[Artikel,]] Maschinen, Wagen und",A->2 k->t,1,,,,A,
anzeige02,deepseek-ocr_3b,64,"Maschinen,","Mächinen,",Substitution,"technische :: Artikel, [[Maschinen,]] Wagen und Räder.",a->ä s->∅,1,,,,A,
anzeige02,deepseek-ocr_3b,65,Wagen,Magen,Substitution,":: Artikel, Maschinen, [[Wagen]] und Räder. ::",W->M,2,,,,A,
anzeige02,deepseek-ocr_3b,69,Export,Erport,Substitution,und Räder. :: [[Export]] von Erzeugnissen der,x->r,2,,A,nur-fraktur,A,
anzeige02,deepseek-ocr_3b,71,Erzeugnissen,Erzeugnifien,Substitution,:: Export von [[Erzeugnissen]] der litauischen Industrie,s->f s->i,1,,,,A,
anzeige02,deepseek-ocr_3b,73,litauischen,litauifchen,Substitution,von Erzeugnissen der [[litauischen]] Industrie,s->f,2,,A,nur-fraktur,A,
anzeige02,gemma4_e4b,3,Industrie-,Industrie,Substitution,Verlag der technischen [[Industrie-]] und Landwirtschafts- Zeitschrift,-->∅,1,,B,nur-trennung,B,
anzeige02,gemma4_e4b,12,Kunst-Photochemiegraphie,Kunst-Photochemie,Substitution,(Der Litauische Polytechniker) [[Kunst-Photochemiegraphie]] und Anfertigung von,g->∅ r->∅ a->∅ p->∅ h->∅ i->∅ e->∅,1,,,,E,
anzeige02,gemma4_e4b,16,Kunst-Klischees.,Kunst-Klishees.,Substitution,und Anfertigung von [[Kunst-Klischees.]] Ausrüstung und Niederlage,c->∅,1,,,,A,
anzeige02,glm-ocr_bf16,14,Anfertigung,Unfertigung,Substitution,Polytechniker) Kunst-Photochemiegraphie und [[Anfertigung]] von Kunst-Klischees. Ausrüstung,A->U,3,,A,nur-fraktur,A,
anzeige02,glm-ocr_bf16,32,Wasser-,Waffer-,Substitution,/ Montage von [[Wasser-]] turbinen. / Mühlsteinfabrikation,s->f s->f,1,,A,nur-fraktur,A,
anzeige02,glm-ocr_bf16,35,Mühlsteinfabrikation,Mühlsteinfabriktion,Substitution,Wasser- turbinen. / [[Mühlsteinfabrikation]] u. Betonbau. Einrichtung,a->∅,1,,,,A,
anzeige02,glm-ocr_bf16,43,destillations-Anlagen.,deftillations-Unlagen.,Substitution,Holz- und Torf-Trocken- [[destillations-Anlagen.]] / Herstellung von,s->f A->U,1,,A,nur-fraktur,A,
anzeige02,glm-ocr_bf16,54,Werk-,Wert-,Substitution,dergl. / Mechanische [[Werk-]] stätte und Fabrik,k->t,2,,A,nur-fraktur,A,
anzeige02,glm-ocr_bf16,55,stätte,ftätte,Substitution,/ Mechanische Werk- [[stätte]] und Fabrik für,s->f,1,,A,nur-fraktur,A,
anzeige02,glm-ocr_bf16,57,Fabrik,Fabrift,Substitution,Werk- stätte und [[Fabrik]] für Holz- und,∅->f k->t,1,,,,A,
anzeige02,glm-ocr_bf16,63,"Artikel,","Artifel,",Substitution,"und technische :: [[Artikel,]] Maschinen, Wagen und",k->f,2,,A,nur-fraktur,A,
anzeige02,google_gemini-3-5-flash,8,Politechnikas“,Politehnikas“,Substitution,Landwirtschafts- Zeitschrift „Lietuvos [[Politechnikas“]] (Der Litauische Polytechniker),c->∅,1,,,,,
anzeige02,maternion_lightonocr-2_1b,14,Anfertigung,Unfertigung,Substitution,Polytechniker) Kunst-Photochemiegraphie und [[Anfertigung]] von Kunst-Klischees. Ausrüstung,A->U,3,,A,nur-fraktur,A,
anzeige02,maternion_lightonocr-2_1b,69,Export,Erport,Substitution,und Räder. :: [[Export]] von Erzeugnissen der,x->r,2,,A,nur-fraktur,A,
anzeige02,minicpm-v4.5_8b,2,technischen,technifden,Substitution,Verlag der [[technischen]] Industrie- und Landwirtschafts-,s->f c->d h->∅,1,,,,A,
anzeige02,minicpm-v4.5_8b,3,Industrie-,Induftrie-,Substitution,Verlag der technischen [[Industrie-]] und Landwirtschafts- Zeitschrift,s->f,1,,A,nur-fraktur,A,
anzeige02,minicpm-v4.5_8b,5,Landwirtschafts- Zeitschrift,Landwirtfchafts-Zeitschrift,Substitution,technischen Industrie- und [[Landwirtschafts- Zeitschrift]] „Lietuvos Politechnikas“ (Der,s->f  ->∅,1,,,,A,zusaetzlich Trennung am Zeilenende (B)
anzeige02,minicpm-v4.5_8b,10,Litauische,Litauifche,Substitution,„Lietuvos Politechnikas“ (Der [[Litauische]] Polytechniker) Kunst-Photochemiegraphie und,s->f,1,,A,nur-fraktur,A,
anzeige02,minicpm-v4.5_8b,11,Polytechniker),Polytechnifter),Substitution,Politechnikas“ (Der Litauische [[Polytechniker)]] Kunst-Photochemiegraphie und Anfertigung,∅->f k->t,1,,,,A,
anzeige02,minicpm-v4.5_8b,12,Kunst-Photochemiegraphie,Kunft-Photochemiegraphie,Substitution,(Der Litauische Polytechniker) [[Kunst-Photochemiegraphie]] und Anfertigung von,s->f,2,,A,nur-fraktur,A,
anzeige02,minicpm-v4.5_8b,14,Anfertigung,Unfertigung,Substitution,Polytechniker) Kunst-Photochemiegraphie und [[Anfertigung]] von Kunst-Klischees. Ausrüstung,A->U,3,,A,nur-fraktur,A,
anzeige02,minicpm-v4.5_8b,16,Kunst-Klischees.,Kunft-Klifchees.,Substitution,und Anfertigung von [[Kunst-Klischees.]] Ausrüstung und Niederlage,s->f s->f,1,,A,nur-fraktur,A,
anzeige02,minicpm-v4.5_8b,17,Ausrüstung,Ausruftung,Substitution,Anfertigung von Kunst-Klischees. [[Ausrüstung]] und Niederlage von,ü->u s->f,1,,,,A,
anzeige02,minicpm-v4.5_8b,27,elektrischen,eleftrifchen,Substitution,anderen industriellen und [[elektrischen]] Maschinen. / Montage,k->f s->f,1,,A,nur-fraktur,A,
anzeige02,minicpm-v4.5_8b,28,Maschinen.,Mafchinen.,Substitution,industriellen und elektrischen [[Maschinen.]] / Montage von,s->f,1,,A,nur-fraktur,A,
anzeige02,minicpm-v4.5_8b,32,Wasser- turbinen.,Waffer-turbinen.,Substitution,/ Montage von [[Wasser- turbinen.]] / Mühlsteinfabrikation u.,s->f s->f  ->∅,1,,,,A,zusaetzlich Trennung am Zeilenende (B)
anzeige02,minicpm-v4.5_8b,35,Mühlsteinfabrikation,Mühlfteinfabftritation,Substitution,Wasser- turbinen. / [[Mühlsteinfabrikation]] u. Betonbau. Einrichtung,s->f ∅->f ∅->t k->t,1,,,,A,
anzeige02,minicpm-v4.5_8b,42,Torf-Trocken- destillations-Anlagen.,Torf-Trocfen-deffiflations-Anlagen.,Substitution,von Holz- und [[Torf-Trocken- destillations-Anlagen.]] / Herstellung von,k->f  ->∅ s->f t->f l->f,1,,,,A,
anzeige02,minicpm-v4.5_8b,45,Herstellung,Herftellung,Substitution,"Torf-Trocken- destillations-Anlagen. / [[Herstellung]] von Teer, Terpentin,",s->f,1,,A,nur-fraktur,A,
anzeige02,minicpm-v4.5_8b,47,"Teer,","Zeer,",Substitution,"/ Herstellung von [[Teer,]] Terpentin, Ölen u.",T->Z,1,,,,A,
anzeige02,minicpm-v4.5_8b,49,Ölen,Sen,Substitution,"von Teer, Terpentin, [[Ölen]] u. dergl. /",Ö->S l->∅,1,,,,A,
anzeige02,minicpm-v4.5_8b,53,Mechanische Werk- stätte,Mechanifche Werftätte,Substitution,u. dergl. / [[Mechanische Werk- stätte]] und Fabrik für,s->f k->f -->∅  ->∅ s->∅,1,,,,A,zusaetzlich Trennung am Zeilenende (B)
anzeige02,minicpm-v4.5_8b,57,Fabrik,Fabrif,Substitution,Werk- stätte und [[Fabrik]] für Holz- und,k->f,1,,A,nur-fraktur,A,
anzeige02,minicpm-v4.5_8b,61,technische,technifche,Substitution,"für Holz- und [[technische]] :: Artikel, Maschinen,",s->f,1,,A,nur-fraktur,A,
anzeige02,minicpm-v4.5_8b,63,"Artikel,","Artifel,",Substitution,"und technische :: [[Artikel,]] Maschinen, Wagen und",k->f,2,,A,nur-fraktur,A,
anzeige02,minicpm-v4.5_8b,64,"Maschinen,","Mafchinen,",Substitution,"technische :: Artikel, [[Maschinen,]] Wagen und Räder.",s->f,1,,A,nur-fraktur,A,
anzeige02,minicpm-v4.5_8b,65,Wagen,Magen,Substitution,":: Artikel, Maschinen, [[Wagen]] und Räder. ::",W->M,2,,,,A,
anzeige02,minicpm-v4.5_8b,71,Erzeugnissen,Erzeugniffen,Substitution,:: Export von [[Erzeugnissen]] der litauischen Industrie,s->f s->f,1,,A,nur-fraktur,A,
anzeige02,minicpm-v4.5_8b,73,litauischen,litauifchen,Substitution,von Erzeugnissen der [[litauischen]] Industrie,s->f,2,,A,nur-fraktur,A,
anzeige02,minicpm-v4.5_8b,74,Industrie,Induftrie,Substitution,Erzeugnissen der litauischen [[Industrie]],s->f,1,,A,nur-fraktur,A,
anzeige02,qwen3-vl_4b-instruct,11,Polytechniker),Politechniker),Substitution,Politechnikas“ (Der Litauische [[Polytechniker)]] Kunst-Photochemiegraphie und Anfertigung,y->i,1,,,,C,strittig: A (y/i) denkbar; hier als Angleichung an die litauische Form 'Politechnikas' gewertet
anzeige02,qwen3-vl_4b-instruct,35,Mühlsteinfabrikation,Mühlssteinfabrikation,Substitution,Wasser- turbinen. / [[Mühlsteinfabrikation]] u. Betonbau. Einrichtung,∅->s,1,,,,A,
anzeige02,qwen3.5_4b,35,Mühlsteinfabrikation,Mühlesteinfabrikation,Substitution,Wasser- turbinen. / [[Mühlsteinfabrikation]] u. Betonbau. Einrichtung,∅->e,1,,,,A,
anzeige03,anthropic_claude-opus-5,45,Moskau— Paris.,Moskau—Paris.,Substitution,"& Co. Parfümeriefabrik, [[Moskau— Paris.]] Dr. Ernst Kuhlmann-Charlottenburg,", ->∅,7,,B,nur-trennung,B,
anzeige03,anthropic_claude-sonnet-5,45,Moskau— Paris.,Moskau—Paris.,Substitution,"& Co. Parfümeriefabrik, [[Moskau— Paris.]] Dr. Ernst Kuhlmann-Charlottenburg,", ->∅,7,,B,nur-trennung,B,
anzeige03,deepseek-ocr_3b,7,"Kowno,","Aromo,",Substitution,"Finn En gros [[Kowno,]] Gr. Wilnaerstr. 13.",∅->A K->r w->m n->∅,1,,,,E,"strittig: D denkbar (litauischer Ortsname); hier E, weil kein graphischer Bezug erkennbar"
anzeige03,deepseek-ocr_3b,15,"Gummiwaren,","Gummivaren,",Substitution,"338. Spezialhaus für [[Gummiwaren,]] Verbandstoffe, Apotheker-Bedarfsartikel, kosmetische",w->v,1,,,,A,
anzeige03,deepseek-ocr_3b,18,kosmetische,tosmetische,Substitution,"Gummiwaren, Verbandstoffe, Apotheker-Bedarfsartikel, [[kosmetische]] und Toilette-Artikel. Generalvertretung",k->t,1,,A,nur-fraktur,A,
anzeige03,deepseek-ocr_3b,32,Amol-Werke-Hamburg.,M o l - M e r f e - S a m b u r g.,Substitution,"Randstaaten der Fabriken: [[Amol-Werke-Hamburg.]] Kluge & Pöritzsch,",A->M m->  ∅->  ∅->  ∅->  ∅->M W->  ∅->  ∅->  ∅->f k->  ∅->  ∅->  ∅->S H->  ∅->  ∅->  ∅->  ∅->  ∅-> ,1,,,,B,Sperrsatz woertlich uebernommen; enthaelt zusaetzlich Frakturverwechslungen (A)
anzeige03,deepseek-ocr_3b,37,Essenzen,Effenzen,Substitution,"& Pöritzsch, Leipzig, [[Essenzen]] und ätherische Oele.",s->f s->f,3,,A,nur-fraktur,A,
anzeige03,deepseek-ocr_3b,40,Oele.,Dele.,Substitution,Essenzen und ätherische [[Oele.]] Brocard & Co.,O->D,5,,A,nur-fraktur,A,
anzeige03,deepseek-ocr_3b,45,Moskau— Paris.,Mostau—Paris.,Substitution,"& Co. Parfümeriefabrik, [[Moskau— Paris.]] Dr. Ernst Kuhlmann-Charlottenburg,",k->t  ->∅,1,,,,A,
anzeige03,deepseek-ocr_3b,49,"Kuhlmann-Charlottenburg,","Auhlmann-Charlottenburg,",Substitution,"Paris. Dr. Ernst [[Kuhlmann-Charlottenburg,]] Verbandstoffabrik. Verkauf zu",K->A,1,,,,A,
anzeige03,deepseek-ocr_3b,51,Verkauf,Vertauf,Substitution,"Ernst Kuhlmann-Charlottenburg, Verbandstoffabrik. [[Verkauf]] zu Originalfabrikpreisen. Man",k->t,1,,A,nur-fraktur,A,
anzeige03,gemma4_e4b,35,"Pöritzsch,","Pörkish,",Substitution,"Amol-Werke-Hamburg. Kluge & [[Pöritzsch,]] Leipzig, Essenzen und",∅->k t->∅ z->∅ c->∅,1,,,,A,
anzeige03,gemma4_e4b,37,Essenzen,Effenzen,Substitution,"& Pöritzsch, Leipzig, [[Essenzen]] und ätherische Oele.",s->f s->f,3,,A,nur-fraktur,A,
anzeige03,gemma4_e4b,40,Oele.,Öle.,Substitution,Essenzen und ätherische [[Oele.]] Brocard & Co.,O->Ö e->∅,3,,,,C,
anzeige03,gemma4_e4b,45,Moskau— Paris.,Moskau-Paris.,Substitution,"& Co. Parfümeriefabrik, [[Moskau— Paris.]] Dr. Ernst Kuhlmann-Charlottenburg,",—->-  ->∅,1,,B,nur-trennung,B,
anzeige03,gemma4_e4b,49,"Kuhlmann-Charlottenburg,","Kuhnmann-Charlottenburg,",Substitution,"Paris. Dr. Ernst [[Kuhlmann-Charlottenburg,]] Verbandstoffabrik. Verkauf zu",l->n,1,,,,A,
anzeige03,gemma4_e4b,50,Verbandstoffabrik.,Verbandstofffabrik.,Substitution,"Dr. Ernst Kuhlmann-Charlottenburg, [[Verbandstoffabrik.]] Verkauf zu Originalfabrikpreisen.",∅->f,3,,,,C,
anzeige03,gemma4_e4b,53,Originalfabrikpreisen.,Originalfabrikenpreisen.,Substitution,Verbandstoffabrik. Verkauf zu [[Originalfabrikpreisen.]] Man verlange Preislisten,∅->e ∅->n,1,,,,A,
anzeige03,glm-ocr_bf16,17,"Apotheker-Bedarfsartikel,","Upothefer-Bedarfsartikel,",Substitution,"für Gummiwaren, Verbandstoffe, [[Apotheker-Bedarfsartikel,]] kosmetische und Toilette-Artikel.",A->U k->f,1,,A,nur-fraktur,A,
anzeige03,glm-ocr_bf16,20,Toilette-Artikel.,Toilette-Artifel.,Substitution,"Apotheker-Bedarfsartikel, kosmetische und [[Toilette-Artikel.]] Generalvertretung und Niederlage",k->f,2,,A,nur-fraktur,A,
anzeige03,glm-ocr_bf16,32,Amol-Werke-Hamburg.,Umol-Werte-Hamburg.,Substitution,"Randstaaten der Fabriken: [[Amol-Werke-Hamburg.]] Kluge & Pöritzsch,",A->U k->t,1,,A,nur-fraktur,A,
anzeige03,glm-ocr_bf16,35,"Pöritzsch,","Pöriksch,",Substitution,"Amol-Werke-Hamburg. Kluge & [[Pöritzsch,]] Leipzig, Essenzen und",t->k z->∅,1,,,,A,
anzeige03,glm-ocr_bf16,37,Essenzen,Effenzen,Substitution,"& Pöritzsch, Leipzig, [[Essenzen]] und ätherische Oele.",s->f s->f,3,,A,nur-fraktur,A,
anzeige03,glm-ocr_bf16,40,Oele.,Dele.,Substitution,Essenzen und ätherische [[Oele.]] Brocard & Co.,O->D,5,,A,nur-fraktur,A,
anzeige03,glm-ocr_bf16,44,"Parfümeriefabrik,","Parfumeriefabrif,",Substitution,"Brocard & Co. [[Parfümeriefabrik,]] Moskau— Paris. Dr.",ü->u k->f,1,,,,A,
anzeige03,glm-ocr_bf16,45,Moskau— Paris.,Mosfau—Paris.,Substitution,"& Co. Parfümeriefabrik, [[Moskau— Paris.]] Dr. Ernst Kuhlmann-Charlottenburg,",k->f  ->∅,1,,,,A,zusaetzlich Spatium (B)
anzeige03,glm-ocr_bf16,48,Ernst,Ernft,Substitution,"Moskau— Paris. Dr. [[Ernst]] Kuhlmann-Charlottenburg, Verbandstoffabrik. Verkauf",s->f,1,,A,nur-fraktur,A,
