model,model_reported,image,prompt_id,done_reason,prompt_eval_count,eval_count,seconds,output_path,raw_path
qwen3.5:4b,qwen3.5:4b,anzeige05.png,P-GEN-01,stop,2320.0,93.0,130.2,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige05__qwen3.5_4b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige05__qwen3.5_4b.json
maternion/lightonocr-2:1b,maternion/lightonocr-2:1b,anzeige01.png,P-OCR-LIGHTON-01,stop,1935.0,299.0,94.5,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige01__maternion_lightonocr-2_1b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige01__maternion_lightonocr-2_1b.json
maternion/lightonocr-2:1b,maternion/lightonocr-2:1b,anzeige02.png,P-OCR-LIGHTON-01,stop,2925.0,207.0,153.0,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige02__maternion_lightonocr-2_1b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige02__maternion_lightonocr-2_1b.json
maternion/lightonocr-2:1b,maternion/lightonocr-2:1b,anzeige03.png,P-OCR-LIGHTON-01,stop,2430.0,174.0,114.8,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige03__maternion_lightonocr-2_1b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige03__maternion_lightonocr-2_1b.json
maternion/lightonocr-2:1b,maternion/lightonocr-2:1b,anzeige04.png,P-OCR-LIGHTON-01,stop,2540.0,458.0,140.7,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige04__maternion_lightonocr-2_1b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige04__maternion_lightonocr-2_1b.json
maternion/lightonocr-2:1b,maternion/lightonocr-2:1b,anzeige05.png,P-OCR-LIGHTON-01,stop,2155.0,102.0,112.1,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige05__maternion_lightonocr-2_1b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige05__maternion_lightonocr-2_1b.json
glm-ocr:bf16,glm-ocr:bf16,anzeige01.png,P-OCR-GLM-01,,,,361.8,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige01__glm-ocr_bf16.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige01__glm-ocr_bf16.json
glm-ocr:bf16,glm-ocr:bf16,anzeige02.png,P-OCR-GLM-01,,,,120.0,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige02__glm-ocr_bf16.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige02__glm-ocr_bf16.json
glm-ocr:bf16,glm-ocr:bf16,anzeige03.png,P-OCR-GLM-01,,,,135.5,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige03__glm-ocr_bf16.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige03__glm-ocr_bf16.json
glm-ocr:bf16,glm-ocr:bf16,anzeige04.png,P-OCR-GLM-01,,,,139.3,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige04__glm-ocr_bf16.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige04__glm-ocr_bf16.json
glm-ocr:bf16,glm-ocr:bf16,anzeige05.png,P-OCR-GLM-01,,,,232.0,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige05__glm-ocr_bf16.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige05__glm-ocr_bf16.json
deepseek-ocr:3b,deepseek-ocr:3b,anzeige01.png,P-OCR-DSK-01,stop,453.0,145.0,69.3,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige01__deepseek-ocr_3b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige01__deepseek-ocr_3b.json
deepseek-ocr:3b,deepseek-ocr:3b,anzeige02.png,P-OCR-DSK-01,stop,305.0,245.0,34.8,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige02__deepseek-ocr_3b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige02__deepseek-ocr_3b.json
deepseek-ocr:3b,deepseek-ocr:3b,anzeige03.png,P-OCR-DSK-01,stop,305.0,183.0,29.2,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige03__deepseek-ocr_3b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige03__deepseek-ocr_3b.json
deepseek-ocr:3b,deepseek-ocr:3b,anzeige04.png,P-OCR-DSK-01,stop,305.0,226.0,31.7,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige04__deepseek-ocr_3b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige04__deepseek-ocr_3b.json
deepseek-ocr:3b,deepseek-ocr:3b,anzeige05.png,P-OCR-DSK-01,stop,453.0,88.0,50.2,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige05__deepseek-ocr_3b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige05__deepseek-ocr_3b.json
minicpm-v4.5:8b,minicpm-v4.5:8b,anzeige01.png,P-GEN-01,stop,640.0,146.0,123.7,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige01__minicpm-v4.5_8b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige01__minicpm-v4.5_8b.json
minicpm-v4.5:8b,minicpm-v4.5:8b,anzeige02.png,P-GEN-01,stop,506.0,219.0,90.2,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige02__minicpm-v4.5_8b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige02__minicpm-v4.5_8b.json
minicpm-v4.5:8b,minicpm-v4.5:8b,anzeige03.png,P-GEN-01,stop,506.0,185.0,84.0,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige03__minicpm-v4.5_8b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige03__minicpm-v4.5_8b.json
minicpm-v4.5:8b,minicpm-v4.5:8b,anzeige04.png,P-GEN-01,stop,506.0,223.0,90.4,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige04__minicpm-v4.5_8b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige04__minicpm-v4.5_8b.json
minicpm-v4.5:8b,minicpm-v4.5:8b,anzeige05.png,P-GEN-01,stop,640.0,98.0,87.6,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige05__minicpm-v4.5_8b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige05__minicpm-v4.5_8b.json
